timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550077967570,184,HTTP Request-0,301,Moved Permanently,Users 1-33,text,true,,438,142,44,44,https://www-uat.liferay.com/marketplace-upgrade,184,0,151
1550077967756,295,HTTP Request-1,200,OK,Users 1-33,text,true,,63137,142,44,44,https://web-uat.liferay.com/marketplace-upgrade,286,0,36
1550077967319,758,HTTP Request,200,OK,Users 1-6,text,true,,125027,1291,43,43,https://help.liferay.com/hc/en-us,434,0,400
1550077967319,434,HTTP Request-0,301,Moved Permanently,Users 1-6,text,true,,433,137,43,43,https://www-uat.liferay.com/group/customer,434,0,400
1550077967757,36,HTTP Request-1,301,Moved Permanently,Users 1-6,text,true,,498,137,43,43,https://web-uat.liferay.com/group/customer,36,0,30
1550077967793,242,HTTP Request-2,301,Moved Permanently,Users 1-6,text,true,,2033,123,43,43,https://help.liferay.com/hc/,241,0,48
1550077968035,42,HTTP Request-3,200,OK,Users 1-6,text,true,,122063,894,43,43,https://help.liferay.com/hc/en-us,25,0,0
1550077967724,375,HTTP Request,200,OK,Users 1-48,text,true,,128344,1378,42,42,https://help.liferay.com/hc/en-us/categories/360000867972,101,0,79
1550077967724,101,HTTP Request-0,301,Moved Permanently,Users 1-48,text,true,,453,157,42,42,https://www-uat.liferay.com/group/customer/products/portal/6.2,101,0,79
1550077967826,14,HTTP Request-1,301,Moved Permanently,Users 1-48,text,true,,544,157,42,42,https://web-uat.liferay.com/group/customer/products/portal/6.2,14,0,11
1550077967840,225,HTTP Request-2,301,Moved Permanently,Users 1-48,text,true,,2081,146,42,42,https://help.liferay.com/hc/categories/360000867972,224,0,40
1550077968065,34,HTTP Request-3,200,OK,Users 1-48,text,true,,125266,918,42,42,https://help.liferay.com/hc/en-us/categories/360000867972,17,0,0
1550077967380,856,HTTP Request,404,,Users 1-14,text,false,Test failed: code expected to match /200/,189935,130,41,41,https://www-uat.liferay.com/sign-in,783,0,341
1550077967318,943,HTTP Request,404,,Users 1-2,text,false,Test failed: code expected to match /200/,198010,268,40,40,https://www-uat.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,848,0,397
1550077967675,663,HTTP Request,404,,Users 1-44,text,false,Test failed: code expected to match /200/,192431,194,39,39,https://www-uat.liferay.com/digitally-transform-your-financial-services-business-leveraging-liferay,569,0,74
1550077967734,609,HTTP Request,404,,Users 1-49,text,false,Test failed: code expected to match /200/,200674,333,38,38,https://www-uat.liferay.com/sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=/login/create_account_trial&_58_redirect=/c/portal/register_trial_license?redirect=/digital-experience-platform/30-day-trial,515,0,76
